date,TF,HF,OT
2022/9/12 14:30,33.865425,37.94766667,5.348491797
2022/9/12 14:40,33.88625833,37.95025,5.780094776
2022/9/12 14:50,33.98190833,35.64076667,5.547174905
2022/9/12 15:00,34.09239167,35.91976667,5.65681151
2022/9/12 15:10,34.1069,37.58046667,5.922380054
2022/9/12 15:20,34.10445833,36.07815,5.732668926
2022/9/12 15:30,34.2808,35.43203333,5.261952645
2022/9/12 15:40,34.19878333,35.6987,5.623525544
2022/9/12 15:50,34.24259167,36.78056667,5.671580725
2022/9/12 16:00,34.27310833,35.43575,5.601081411
2022/9/12 16:10,34.28130833,34.69908333,5.145890028
2022/9/12 16:20,34.34781667,33.04935,5.304560757
2022/9/12 16:30,34.4398,33.5136,5.480526596
2022/9/12 16:40,34.36516667,34.38433333,5.562834296
2022/9/12 16:50,34.21515,36.09705,5.422987725
2022/9/12 17:00,34.11161667,34.58113333,4.711404496
2022/9/12 17:10,34.04979167,35.05093333,4.752759877
2022/9/12 17:20,34.0309,35.45176667,4.566154215
2022/9/12 17:30,33.93624167,36.76141667,5.689425175
2022/9/12 17:40,33.97435,35.10935,5.541094231
2022/9/12 17:50,33.959375,36.09513333,5.26353468
2022/9/12 18:00,33.80520833,37.00625,5.679817749
2022/9/12 18:10,33.5455,39.01183333,5.831639202
2022/9/12 18:20,33.32441667,40.75453333,5.910230345
2022/9/12 18:30,33.04458333,40.82161667,5.510753309
2022/9/12 18:40,32.94915,40.6927,5.618408764
2022/9/12 18:50,32.8698,40.05783333,5.765062316
2022/9/12 19:00,32.86770833,39.30088333,5.259382394
2022/9/12 19:10,32.94054167,38.80605,5.475538039
2022/9/12 19:20,32.90646667,39.2332,5.001665735
2022/9/12 19:30,32.78215833,39.91601667,4.922494484
2022/9/12 19:40,32.93826667,38.85603333,5.068183345
2022/9/12 19:50,33.0127193,38.17154386,3.927827234
2022/9/12 20:00,0,0,0
2022/9/12 20:10,0,0,0
2022/9/12 20:20,0,0,0
2022/9/12 20:30,0,0,0
2022/9/12 20:40,0,0,0
2022/9/12 20:50,0,0,0
2022/9/12 21:00,0,0,0
